,Indicator,Country,Date,value
302,Cumulative number of confirmed Ebola deaths,Spain,2015-03-02,0.0
303,Cumulative number of probable Ebola deaths,Spain,2015-03-02,0.0
304,Cumulative number of suspected Ebola deaths,Spain,2015-03-02,0.0
305,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-02,0.0
306,Cumulative number of confirmed Ebola deaths,United States of America,2015-03-02,1.0
307,Cumulative number of probable Ebola deaths,United States of America,2015-03-02,0.0
308,Cumulative number of suspected Ebola deaths,United States of America,2015-03-02,0.0
309,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-02,1.0
310,Cumulative number of confirmed Ebola cases,United Kingdom,2015-02-27,1.0
311,Cumulative number of probable Ebola cases,United Kingdom,2015-02-27,0.0
312,Cumulative number of suspected Ebola cases,United Kingdom,2015-02-27,0.0
313,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-27,0.0
314,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-27,3190.0
315,Cumulative number of confirmed Ebola cases,Guinea,2015-02-27,2790.0
316,Cumulative number of probable Ebola cases,Guinea,2015-02-27,392.0
317,Cumulative number of suspected Ebola cases,Guinea,2015-02-27,8.0
318,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-27,2113.0
319,Cumulative number of confirmed Ebola deaths,Guinea,2015-02-27,1721.0
320,Cumulative number of probable Ebola deaths,Guinea,2015-02-27,392.0
321,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-27,9265.0
322,Cumulative number of confirmed Ebola cases,Liberia,2015-02-27,3153.0
323,Cumulative number of probable Ebola cases,Liberia,2015-02-27,1888.0
324,Cumulative number of suspected Ebola cases,Liberia,2015-02-27,4224.0
325,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-27,4057.0
326,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-27,11370.0
327,Cumulative number of confirmed Ebola cases,Sierra Leone,2015-02-27,8320.0
328,Cumulative number of probable Ebola cases,Sierra Leone,2015-02-27,287.0
329,Cumulative number of suspected Ebola cases,Sierra Leone,2015-02-27,2763.0
330,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-27,3490.0
331,Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-02-27,3124.0
332,Cumulative number of probable Ebola deaths,Sierra Leone,2015-02-27,208.0
333,Cumulative number of suspected Ebola deaths,Sierra Leone,2015-02-27,158.0
334,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-27,1.0
335,Cumulative number of confirmed Ebola cases,Mali,2015-02-27,7.0
336,Cumulative number of probable Ebola cases,Mali,2015-02-27,1.0
337,Cumulative number of suspected Ebola cases,Mali,2015-02-27,0.0
338,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-27,6.0
339,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-27,8.0
340,Cumulative number of confirmed Ebola cases,Nigeria,2015-02-27,19.0
341,Cumulative number of probable Ebola cases,Nigeria,2015-02-27,1.0
342,Cumulative number of suspected Ebola cases,Nigeria,2015-02-27,0.0
343,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-27,20.0
344,Cumulative number of confirmed Ebola cases,Senegal,2015-02-27,1.0
345,Cumulative number of probable Ebola cases,Senegal,2015-02-27,0.0
